2021-09-10 22:15:52.9096|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-09-10 22:15:52.9096|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-09-10 22:15:52.9096|0|INFO|Microsoft.Hosting.Lifetime|Content root path: D:\Facultad\2021\2do cuatrimestre\Taller de Lenguajes II\tp022021-sofiaberretta\TrabajoPractico2\TrabajoPractico2 |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-09-10 22:15:52.9600|0|INFO|TrabajoPractico2.Startup|NLog injected into HomeController |url: https://localhost/|action: Index|TrabajoPractico2.Controllers.HomeController..ctor| body: 
2021-09-10 22:16:16.8824|0|INFO|TrabajoPractico2.Startup|NLog injected into HomeController |url: https://localhost/Home/datosEmpleado|action: datosEmpleado|TrabajoPractico2.Controllers.HomeController..ctor| body: nombre=Sofia&apellido=Berretta&fechaNac=2001-07-15&tel=414555656&direc=San+Juan+123&puesto=Jefa&fechaIngreso=2015-07-05&__RequestVerificationToken=CfDJ8AC7I9TaRDRCtWxpPnXwwAFxLh-dtJuglF_qy8Dlt_PpYm7S04aiCnKWXvFlT9QkStuHtO6YZn01D2WVvBxdf0qJFt4tbFGNH_DkUc-1uWmoys9oC549G197kdAwzP4onPM8tJyLMIlY58eUR_Y_6Dg
2021-09-10 22:16:16.9130|0|INFO|TrabajoPractico2.Startup|Datos ingresados: Sofia Berretta, 20 años, 6 años en la empresa, salario de $20000. |url: https://localhost/Home/datosEmpleado|action: datosEmpleado|TrabajoPractico2.Controllers.HomeController.datosEmpleado| body: nombre=Sofia&apellido=Berretta&fechaNac=2001-07-15&tel=414555656&direc=San+Juan+123&puesto=Jefa&fechaIngreso=2015-07-05&__RequestVerificationToken=CfDJ8AC7I9TaRDRCtWxpPnXwwAFxLh-dtJuglF_qy8Dlt_PpYm7S04aiCnKWXvFlT9QkStuHtO6YZn01D2WVvBxdf0qJFt4tbFGNH_DkUc-1uWmoys9oC549G197kdAwzP4onPM8tJyLMIlY58eUR_Y_6Dg
2021-09-10 22:16:19.1664|0|INFO|TrabajoPractico2.Startup|NLog injected into HomeController |url: https://localhost/|action: Index|TrabajoPractico2.Controllers.HomeController..ctor| body: 
2021-09-10 22:16:53.7620|0|INFO|TrabajoPractico2.Startup|NLog injected into HomeController |url: https://localhost/Home/datosEmpleado|action: datosEmpleado|TrabajoPractico2.Controllers.HomeController..ctor| body: nombre=Santi&apellido=Berretta&fechaNac=1999-03-05&tel=236514541&direc=San+Martin+123&puesto=Conserje&fechaIngreso=2015-08-04&__RequestVerificationToken=CfDJ8AC7I9TaRDRCtWxpPnXwwAGjdSX-P83vfiUmkZmUSDHfZ9hbA8fRh9dWi2jZ9LxQInas2hqjg52n15-Fb6XKTaY2vrKmZHdoNmwilvoxlp47lfdT-b0Nr1E8-u_hqQyx2jtPAX0jIFx6NxKssNVIVEM
2021-09-10 22:16:53.7664|0|INFO|TrabajoPractico2.Startup|Datos ingresados: Santi Berretta, 22 años, 6 años en la empresa, salario de $20000. |url: https://localhost/Home/datosEmpleado|action: datosEmpleado|TrabajoPractico2.Controllers.HomeController.datosEmpleado| body: nombre=Santi&apellido=Berretta&fechaNac=1999-03-05&tel=236514541&direc=San+Martin+123&puesto=Conserje&fechaIngreso=2015-08-04&__RequestVerificationToken=CfDJ8AC7I9TaRDRCtWxpPnXwwAGjdSX-P83vfiUmkZmUSDHfZ9hbA8fRh9dWi2jZ9LxQInas2hqjg52n15-Fb6XKTaY2vrKmZHdoNmwilvoxlp47lfdT-b0Nr1E8-u_hqQyx2jtPAX0jIFx6NxKssNVIVEM
2021-09-10 22:18:37.3086|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-09-10 22:18:37.3146|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-09-10 22:18:37.3146|0|INFO|Microsoft.Hosting.Lifetime|Content root path: D:\Facultad\2021\2do cuatrimestre\Taller de Lenguajes II\tp022021-sofiaberretta\TrabajoPractico2\TrabajoPractico2 |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-09-10 22:18:37.3597|0|INFO|TrabajoPractico2.Startup|NLog injected into HomeController |url: https://localhost/|action: Index|TrabajoPractico2.Controllers.HomeController..ctor| body: 
2021-09-10 22:18:38.3955|0|INFO|TrabajoPractico2.Startup|NLog injected into HomeController |url: https://localhost/Home/datosEmpleado|action: datosEmpleado|TrabajoPractico2.Controllers.HomeController..ctor| body: nombre=&apellido=&fechaNac=&tel=&direc=&puesto=&fechaIngreso=&__RequestVerificationToken=CfDJ8AC7I9TaRDRCtWxpPnXwwAFPk9qbcYen2AqVMfcSpMA8lwaX827TBvTsxGb9S4CBoxNklW91o4ZVHbtG08ubat0GeFdehEuF-JjvDy3dfZWOqNsWpHhPnSy36CsshQLBn0OBwKbj8xYH5dYUH5k_o2o
